date,state,disease_name,new_cases,new_deaths,new_vaccinations,tests_performed,positive_rate,hospitalized_patients,icu_patients,mobility_index,temperature,humidity,population_density,data_confidence,r0_estimate,incubation_days,infectious_days
2026-03-25,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,67.1,29.2,79.6,316,probable,0.87,4,6
2026-03-26,Kerala,Disease_X_NRP2026,0,0,0,206,0.0,0,0,65.5,28.3,79.7,316,probable,0.87,4,6
2026-03-27,Kerala,Disease_X_NRP2026,0,0,0,224,0.0,0,0,63.91,27.8,82.2,316,probable,0.87,4,6
2026-03-28,Kerala,Disease_X_NRP2026,0,0,0,219,0.0,0,0,65.48,27.9,78.0,316,probable,0.87,4,6
2026-03-29,Kerala,Disease_X_NRP2026,0,0,0,192,0.0,0,0,66.01,28.8,76.9,316,probable,0.87,4,6
2026-03-30,Kerala,Disease_X_NRP2026,0,0,0,186,0.0,0,0,65.38,29.4,77.0,316,probable,0.87,4,6
2026-03-31,Kerala,Disease_X_NRP2026,0,0,0,194,0.0,0,0,65.69,29.2,77.7,316,probable,0.87,4,6
2026-04-01,Kerala,Disease_X_NRP2026,0,0,0,198,0.0,0,0,66.3,30.8,80.2,316,probable,0.87,4,6
2026-04-02,Kerala,Disease_X_NRP2026,0,0,0,209,0.0,0,0,65.78,29.9,78.7,316,probable,0.87,4,6
2026-04-03,Kerala,Disease_X_NRP2026,0,0,0,217,0.0,0,0,65.98,29.4,82.4,316,probable,0.87,4,6
2026-04-04,Kerala,Disease_X_NRP2026,0,0,0,197,0.0,0,0,63.67,31.5,77.1,316,probable,0.87,4,6
2026-04-05,Kerala,Disease_X_NRP2026,0,0,0,183,0.0,0,0,66.44,28.2,79.4,316,probable,0.87,4,6
2026-04-06,Kerala,Disease_X_NRP2026,0,0,0,199,0.0,0,0,65.28,28.7,82.3,316,probable,0.87,4,6
2026-04-07,Kerala,Disease_X_NRP2026,0,0,0,198,0.0,0,0,67.56,30.0,76.5,316,probable,0.87,4,6
2026-04-08,Kerala,Disease_X_NRP2026,0,0,0,194,0.0,0,0,63.3,29.8,78.8,316,probable,0.87,4,6
2026-04-09,Kerala,Disease_X_NRP2026,0,0,0,170,0.0,0,0,67.62,28.7,79.7,316,probable,0.87,4,6
2026-04-10,Kerala,Disease_X_NRP2026,0,0,0,203,0.0,0,0,67.43,31.0,78.9,316,probable,0.87,4,6
2026-04-11,Kerala,Disease_X_NRP2026,0,0,0,212,0.0,0,0,67.75,28.9,78.1,316,probable,0.87,4,6
2026-04-12,Kerala,Disease_X_NRP2026,0,0,0,217,0.0,0,0,65.49,30.6,75.2,316,probable,0.87,4,6
2026-04-13,Kerala,Disease_X_NRP2026,0,0,0,166,0.0,0,0,65.62,29.4,81.3,316,probable,0.87,4,6
2026-04-14,Kerala,Disease_X_NRP2026,0,0,0,198,0.0,0,0,65.59,28.1,78.5,316,probable,0.87,4,6
2026-04-15,Kerala,Disease_X_NRP2026,0,0,0,199,0.0,0,0,67.13,28.9,79.6,316,probable,0.87,4,6
2026-04-16,Kerala,Disease_X_NRP2026,0,0,0,172,0.0,0,0,65.41,29.3,77.1,316,probable,0.87,4,6
2026-04-17,Kerala,Disease_X_NRP2026,0,0,0,187,0.0,0,0,66.02,29.7,78.8,316,probable,0.87,4,6
2026-04-18,Kerala,Disease_X_NRP2026,0,0,0,186,0.0,0,0,66.57,29.7,78.2,316,probable,0.87,4,6
2026-04-19,Kerala,Disease_X_NRP2026,0,0,0,232,0.0,0,0,65.33,31.6,78.0,316,probable,0.87,4,6
2026-04-20,Kerala,Disease_X_NRP2026,0,0,0,181,0.0,0,0,65.82,30.2,79.3,316,probable,0.87,4,6
2026-04-21,Kerala,Disease_X_NRP2026,0,0,0,188,0.0,0,0,64.08,29.1,76.9,316,probable,0.87,4,6
2026-04-22,Kerala,Disease_X_NRP2026,0,0,0,183,0.0,0,0,65.7,31.1,80.4,316,probable,0.87,4,6
2026-04-23,Kerala,Disease_X_NRP2026,0,0,0,183,0.0,0,0,63.63,29.4,81.8,316,probable,0.87,4,6
2026-04-24,Kerala,Disease_X_NRP2026,0,0,0,191,0.0,0,0,64.76,28.6,79.8,316,probable,0.87,4,6
2026-04-25,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,64.45,29.1,77.6,316,probable,0.87,4,6
2026-04-26,Kerala,Disease_X_NRP2026,0,0,0,204,0.0,0,0,66.11,29.6,76.9,316,probable,0.87,4,6
2026-04-27,Kerala,Disease_X_NRP2026,0,0,0,167,0.0,0,0,66.52,30.2,79.1,316,probable,0.87,4,6
2026-04-28,Kerala,Disease_X_NRP2026,0,0,0,191,0.0,0,0,65.24,29.1,75.1,316,probable,0.87,4,6
2026-04-29,Kerala,Disease_X_NRP2026,0,0,0,187,0.0,0,0,65.77,28.8,79.2,316,probable,0.87,4,6
2026-04-30,Kerala,Disease_X_NRP2026,0,0,0,222,0.0,0,0,66.86,30.6,77.5,316,probable,0.87,4,6
2026-05-01,Kerala,Disease_X_NRP2026,0,0,0,207,0.0,0,0,64.79,29.2,78.4,316,probable,0.87,4,6
2026-05-02,Kerala,Disease_X_NRP2026,0,0,0,198,0.0,0,0,65.87,30.7,80.2,316,probable,0.87,4,6
2026-05-03,Kerala,Disease_X_NRP2026,0,0,0,205,0.0,0,0,68.81,30.4,79.9,316,probable,0.87,4,6
2026-05-04,Kerala,Disease_X_NRP2026,0,0,0,187,0.0,0,0,62.35,31.6,79.7,316,probable,0.87,4,6
2026-05-05,Kerala,Disease_X_NRP2026,0,0,0,216,0.0,0,0,62.38,29.4,80.5,316,probable,0.87,4,6
2026-05-06,Kerala,Disease_X_NRP2026,0,0,0,210,0.0,0,0,67.57,29.5,82.8,316,probable,0.87,4,6
2026-05-07,Kerala,Disease_X_NRP2026,0,0,0,216,0.0,0,0,64.42,30.3,81.3,316,probable,0.87,4,6
2026-05-08,Kerala,Disease_X_NRP2026,0,0,0,225,0.0,0,0,65.03,31.0,81.2,316,probable,0.87,4,6
2026-05-09,Kerala,Disease_X_NRP2026,0,0,0,208,0.0,0,0,68.52,31.4,82.4,316,probable,0.87,4,6
2026-05-10,Kerala,Disease_X_NRP2026,0,0,0,203,0.0,0,0,69.67,29.2,83.5,316,probable,0.87,4,6
2026-05-11,Kerala,Disease_X_NRP2026,0,0,0,185,0.0,0,0,66.41,32.1,81.7,316,probable,0.87,4,6
2026-05-12,Kerala,Disease_X_NRP2026,0,0,0,199,0.0,0,0,66.87,31.9,79.5,316,probable,0.87,4,6
2026-05-13,Kerala,Disease_X_NRP2026,0,0,0,197,0.0,0,0,65.06,32.7,81.5,316,probable,0.87,4,6
2026-05-14,Kerala,Disease_X_NRP2026,0,0,0,196,0.0,0,0,66.64,29.9,77.2,316,probable,0.87,4,6
2026-05-15,Kerala,Disease_X_NRP2026,0,0,0,196,0.0,0,0,65.29,29.5,80.0,316,probable,0.87,4,6
2026-05-16,Kerala,Disease_X_NRP2026,0,0,0,180,0.0,0,0,66.48,30.5,81.9,316,probable,0.87,4,6
2026-05-17,Kerala,Disease_X_NRP2026,0,0,0,251,0.0,0,0,65.79,30.0,80.2,316,probable,0.87,4,6
2026-05-18,Kerala,Disease_X_NRP2026,0,0,0,251,0.0,0,0,64.04,30.8,80.2,316,probable,0.87,4,6
2026-05-19,Kerala,Disease_X_NRP2026,0,0,0,224,0.0,0,0,62.59,31.8,75.2,316,probable,0.87,4,6
2026-05-20,Kerala,Disease_X_NRP2026,0,0,0,193,0.0,0,0,65.6,29.5,78.9,316,probable,0.87,4,6
2026-05-21,Kerala,Disease_X_NRP2026,0,0,0,214,0.0,0,0,64.01,30.6,80.6,316,probable,0.87,4,6
2026-05-22,Kerala,Disease_X_NRP2026,0,0,0,193,0.0,0,0,65.36,30.2,81.5,316,probable,0.87,4,6
2026-05-23,Kerala,Disease_X_NRP2026,0,0,0,179,0.0,0,0,66.62,30.9,81.0,316,probable,0.87,4,6
2026-05-24,Kerala,Disease_X_NRP2026,0,0,0,176,0.0,0,0,64.48,30.9,78.0,316,probable,0.87,4,6
2026-05-25,Kerala,Disease_X_NRP2026,0,0,0,159,0.0,0,0,68.24,31.3,77.7,316,probable,0.87,4,6
2026-05-26,Kerala,Disease_X_NRP2026,0,0,0,219,0.0,0,0,65.65,30.2,81.3,316,probable,0.87,4,6
2026-05-27,Kerala,Disease_X_NRP2026,0,0,0,203,0.0,0,0,65.42,32.4,81.8,316,probable,0.87,4,6
2026-05-28,Kerala,Disease_X_NRP2026,0,0,0,168,0.0,0,0,66.53,30.2,78.9,316,probable,0.87,4,6
2026-05-29,Kerala,Disease_X_NRP2026,0,0,0,205,0.0,0,0,67.17,30.3,81.6,316,probable,0.87,4,6
2026-05-30,Kerala,Disease_X_NRP2026,0,0,0,194,0.0,0,0,66.0,29.2,77.9,316,probable,0.87,4,6
2026-05-31,Kerala,Disease_X_NRP2026,0,0,0,181,0.0,0,0,67.28,29.4,78.9,316,probable,0.87,4,6
2026-06-01,Kerala,Disease_X_NRP2026,0,0,0,212,0.0,0,0,63.42,31.4,83.4,316,probable,0.87,4,6
2026-06-02,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,68.36,29.6,85.0,316,probable,0.87,4,6
2026-06-03,Kerala,Disease_X_NRP2026,0,0,0,179,0.0,0,0,67.09,31.6,81.9,316,probable,0.87,4,6
2026-06-04,Kerala,Disease_X_NRP2026,0,0,0,207,0.0,0,0,66.62,29.9,82.5,316,probable,0.87,4,6
2026-06-05,Kerala,Disease_X_NRP2026,0,0,0,170,0.0,0,0,65.61,31.7,83.9,316,probable,0.87,4,6
2026-06-06,Kerala,Disease_X_NRP2026,0,0,0,179,0.0,0,0,67.28,31.7,83.3,316,probable,0.87,4,6
2026-06-07,Kerala,Disease_X_NRP2026,0,0,0,191,0.0,0,0,67.03,31.0,84.4,316,probable,0.87,4,6
2026-03-01,Tamil Nadu,Disease_X_NRP2026,0,0,0,213,0.0,0,0,65.55,32.4,73.6,316,probable,0.87,4,6
2026-03-02,Tamil Nadu,Disease_X_NRP2026,0,0,0,217,0.0,0,0,65.39,30.3,69.6,316,probable,0.87,4,6
2026-03-03,Tamil Nadu,Disease_X_NRP2026,0,0,0,199,0.0,0,0,67.38,31.6,70.5,316,probable,0.87,4,6
2026-03-04,Tamil Nadu,Disease_X_NRP2026,0,0,0,209,0.0,0,0,66.61,31.8,71.9,316,probable,0.87,4,6
2026-03-05,Tamil Nadu,Disease_X_NRP2026,0,0,0,187,0.0,0,0,68.4,32.5,72.0,316,probable,0.87,4,6
2026-03-06,Tamil Nadu,Disease_X_NRP2026,0,0,0,188,0.0,0,0,67.19,31.6,69.6,316,probable,0.87,4,6
2026-03-07,Tamil Nadu,Disease_X_NRP2026,0,0,0,169,0.0,0,0,66.84,31.4,69.6,316,probable,0.87,4,6
2026-03-08,Tamil Nadu,Disease_X_NRP2026,0,0,0,248,0.0,0,0,65.67,30.7,70.9,316,probable,0.87,4,6
2026-03-09,Tamil Nadu,Disease_X_NRP2026,0,0,0,180,0.0,0,0,65.28,30.8,71.1,316,probable,0.87,4,6
2026-03-10,Tamil Nadu,Disease_X_NRP2026,0,0,0,205,0.0,0,0,64.5,31.0,72.1,316,probable,0.87,4,6
2026-03-11,Tamil Nadu,Disease_X_NRP2026,0,0,0,217,0.0,0,0,66.65,32.9,71.7,316,probable,0.87,4,6
2026-03-12,Tamil Nadu,Disease_X_NRP2026,0,0,0,208,0.0,0,0,68.97,32.6,71.4,316,probable,0.87,4,6
2026-03-13,Tamil Nadu,Disease_X_NRP2026,0,0,0,200,0.0,0,0,68.91,30.7,69.9,316,probable,0.87,4,6
2026-03-14,Tamil Nadu,Disease_X_NRP2026,0,0,0,190,0.0,0,0,66.02,31.5,71.2,316,probable,0.87,4,6
2026-03-15,Tamil Nadu,Disease_X_NRP2026,0,0,0,191,0.0,0,0,68.06,32.4,70.8,316,probable,0.87,4,6
2026-03-16,Tamil Nadu,Disease_X_NRP2026,0,0,0,198,0.0,0,0,68.37,31.7,73.1,316,probable,0.87,4,6
2026-03-17,Tamil Nadu,Disease_X_NRP2026,0,0,0,229,0.0,0,0,67.77,30.2,69.9,316,probable,0.87,4,6
2026-03-18,Tamil Nadu,Disease_X_NRP2026,0,0,0,206,0.0,0,0,65.26,31.9,71.5,316,probable,0.87,4,6
2026-03-19,Tamil Nadu,Disease_X_NRP2026,0,0,0,222,0.0,0,0,63.09,31.4,73.1,316,probable,0.87,4,6
2026-03-20,Tamil Nadu,Disease_X_NRP2026,0,0,0,169,0.0,0,0,65.29,30.5,73.3,316,probable,0.87,4,6
2026-03-21,Tamil Nadu,Disease_X_NRP2026,0,0,0,169,0.0,0,0,65.06,29.8,71.5,316,probable,0.87,4,6
2026-03-22,Tamil Nadu,Disease_X_NRP2026,0,0,0,216,0.0,0,0,67.53,31.2,70.3,316,probable,0.87,4,6
2026-03-23,Tamil Nadu,Disease_X_NRP2026,0,0,0,195,0.0,0,0,65.41,31.8,73.6,316,probable,0.87,4,6
2026-03-24,Tamil Nadu,Disease_X_NRP2026,0,0,0,198,0.0,0,0,64.15,32.1,71.1,316,probable,0.87,4,6
2026-03-25,Tamil Nadu,Disease_X_NRP2026,0,0,0,218,0.0,0,0,66.22,31.0,71.0,316,probable,0.87,4,6
2026-03-26,Tamil Nadu,Disease_X_NRP2026,0,0,0,182,0.0,0,0,66.67,33.2,70.7,316,probable,0.87,4,6
2026-03-27,Tamil Nadu,Disease_X_NRP2026,0,0,0,197,0.0,0,0,66.03,31.7,69.7,316,probable,0.87,4,6
2026-03-28,Tamil Nadu,Disease_X_NRP2026,0,0,0,219,0.0,0,0,66.16,31.6,71.7,316,probable,0.87,4,6
2026-03-29,Tamil Nadu,Disease_X_NRP2026,0,0,0,212,0.0,0,0,63.99,31.7,71.9,316,probable,0.87,4,6
2026-03-30,Tamil Nadu,Disease_X_NRP2026,1,0,0,220,0.0045,0,0,65.29,31.7,69.5,316,confirmed,0.87,4,6
2026-03-31,Tamil Nadu,Disease_X_NRP2026,0,0,0,223,0.0,0,0,63.86,32.0,71.7,316,probable,0.87,4,6
2026-04-01,Tamil Nadu,Disease_X_NRP2026,0,0,0,202,0.0,0,0,64.16,32.5,74.4,316,probable,0.87,4,6
2026-04-02,Tamil Nadu,Disease_X_NRP2026,0,0,0,181,0.0,0,0,62.47,31.7,68.4,316,probable,0.87,4,6
2026-04-03,Tamil Nadu,Disease_X_NRP2026,0,0,0,156,0.0,0,0,64.68,34.1,73.7,316,probable,0.87,4,6
2026-04-04,Tamil Nadu,Disease_X_NRP2026,0,0,0,173,0.0,0,0,63.23,32.4,71.6,316,probable,0.87,4,6
2026-04-05,Tamil Nadu,Disease_X_NRP2026,0,0,0,195,0.0,0,0,66.29,33.9,72.8,316,probable,0.87,4,6
2026-04-06,Tamil Nadu,Disease_X_NRP2026,0,0,0,167,0.0,0,0,65.55,32.6,72.8,316,probable,0.87,4,6
2026-04-07,Tamil Nadu,Disease_X_NRP2026,0,0,0,230,0.0,0,0,66.86,32.9,74.5,316,probable,0.87,4,6
2026-04-08,Tamil Nadu,Disease_X_NRP2026,0,0,0,202,0.0,0,0,63.7,32.6,71.4,316,probable,0.87,4,6
2026-04-09,Tamil Nadu,Disease_X_NRP2026,0,0,0,227,0.0,0,0,65.59,31.5,72.6,316,probable,0.87,4,6
2026-04-10,Tamil Nadu,Disease_X_NRP2026,0,0,0,200,0.0,0,0,65.76,33.1,71.9,316,probable,0.87,4,6
2026-04-11,Tamil Nadu,Disease_X_NRP2026,0,0,0,195,0.0,0,0,66.83,31.6,75.2,316,probable,0.87,4,6
2026-04-12,Tamil Nadu,Disease_X_NRP2026,0,0,0,187,0.0,0,0,66.12,33.4,70.5,316,probable,0.87,4,6
2026-04-13,Tamil Nadu,Disease_X_NRP2026,0,0,0,193,0.0,0,0,66.38,31.8,72.3,316,probable,0.87,4,6
2026-04-14,Tamil Nadu,Disease_X_NRP2026,0,0,0,189,0.0,0,0,63.65,33.7,74.9,316,probable,0.87,4,6
2026-04-15,Tamil Nadu,Disease_X_NRP2026,0,0,0,219,0.0,0,0,67.36,32.1,74.9,316,probable,0.87,4,6
2026-04-16,Tamil Nadu,Disease_X_NRP2026,0,0,0,193,0.0,0,0,65.39,33.0,70.6,316,probable,0.87,4,6
2026-04-17,Tamil Nadu,Disease_X_NRP2026,0,0,0,189,0.0,0,0,65.4,32.3,69.6,316,probable,0.87,4,6
2026-04-18,Tamil Nadu,Disease_X_NRP2026,0,0,0,206,0.0,0,0,66.95,32.3,73.1,316,probable,0.87,4,6
2026-04-19,Tamil Nadu,Disease_X_NRP2026,0,0,0,213,0.0,0,0,68.62,33.7,69.3,316,probable,0.87,4,6
2026-04-20,Tamil Nadu,Disease_X_NRP2026,0,0,0,210,0.0,0,0,64.32,32.8,70.3,316,probable,0.87,4,6
2026-04-21,Tamil Nadu,Disease_X_NRP2026,0,0,0,226,0.0,0,0,63.88,32.7,69.9,316,probable,0.87,4,6
2026-04-22,Tamil Nadu,Disease_X_NRP2026,0,0,0,224,0.0,0,0,65.91,32.3,68.9,316,probable,0.87,4,6
2026-04-23,Tamil Nadu,Disease_X_NRP2026,0,0,0,210,0.0,0,0,66.57,32.9,71.1,316,probable,0.87,4,6
2026-04-24,Tamil Nadu,Disease_X_NRP2026,0,0,0,164,0.0,0,0,66.46,31.9,69.9,316,probable,0.87,4,6
2026-04-25,Tamil Nadu,Disease_X_NRP2026,0,0,0,205,0.0,0,0,65.7,33.1,76.7,316,probable,0.87,4,6
2026-04-26,Tamil Nadu,Disease_X_NRP2026,0,0,0,205,0.0,0,0,66.18,32.4,74.0,316,probable,0.87,4,6
2026-04-27,Tamil Nadu,Disease_X_NRP2026,0,0,0,180,0.0,0,0,67.67,32.6,70.2,316,probable,0.87,4,6
2026-04-28,Tamil Nadu,Disease_X_NRP2026,0,0,0,200,0.0,0,0,66.93,32.6,72.1,316,probable,0.87,4,6
2026-04-29,Tamil Nadu,Disease_X_NRP2026,0,0,0,193,0.0,0,0,64.21,32.8,69.0,316,probable,0.87,4,6
2026-04-30,Tamil Nadu,Disease_X_NRP2026,0,0,0,201,0.0,0,0,62.74,33.2,71.8,316,probable,0.87,4,6
2026-05-01,Tamil Nadu,Disease_X_NRP2026,0,0,0,181,0.0,0,0,66.33,32.7,74.7,316,probable,0.87,4,6
2026-05-02,Tamil Nadu,Disease_X_NRP2026,0,0,0,202,0.0,0,0,65.19,33.1,73.4,316,probable,0.87,4,6
2026-05-03,Tamil Nadu,Disease_X_NRP2026,0,0,0,200,0.0,0,0,64.61,33.2,72.9,316,probable,0.87,4,6
2026-05-04,Tamil Nadu,Disease_X_NRP2026,0,0,0,149,0.0,0,0,67.1,32.4,75.3,316,probable,0.87,4,6
2026-05-05,Tamil Nadu,Disease_X_NRP2026,0,0,0,224,0.0,0,0,65.23,32.6,73.1,316,probable,0.87,4,6
2026-05-06,Tamil Nadu,Disease_X_NRP2026,0,0,0,190,0.0,0,0,66.29,33.6,73.2,316,probable,0.87,4,6
2026-05-07,Tamil Nadu,Disease_X_NRP2026,0,0,0,161,0.0,0,0,68.79,33.7,74.7,316,probable,0.87,4,6
2026-05-08,Tamil Nadu,Disease_X_NRP2026,0,0,0,197,0.0,0,0,68.27,32.7,73.4,316,probable,0.87,4,6
2026-05-09,Tamil Nadu,Disease_X_NRP2026,0,0,0,222,0.0,0,0,64.02,34.8,73.1,316,probable,0.87,4,6
2026-05-10,Tamil Nadu,Disease_X_NRP2026,0,0,0,214,0.0,0,0,66.15,33.6,75.3,316,probable,0.87,4,6
2026-05-11,Tamil Nadu,Disease_X_NRP2026,0,0,0,201,0.0,0,0,68.28,33.7,72.0,316,probable,0.87,4,6
2026-05-12,Tamil Nadu,Disease_X_NRP2026,0,0,0,174,0.0,0,0,64.24,33.9,72.6,316,probable,0.87,4,6
2026-05-13,Tamil Nadu,Disease_X_NRP2026,0,0,0,205,0.0,0,0,64.64,32.8,74.6,316,probable,0.87,4,6
2026-05-14,Tamil Nadu,Disease_X_NRP2026,0,0,0,194,0.0,0,0,65.32,34.2,76.1,316,probable,0.87,4,6
2026-05-15,Tamil Nadu,Disease_X_NRP2026,0,0,0,229,0.0,0,0,68.4,34.0,77.8,316,probable,0.87,4,6
2026-05-16,Tamil Nadu,Disease_X_NRP2026,0,0,0,180,0.0,0,0,62.75,33.0,74.2,316,probable,0.87,4,6
2026-05-17,Tamil Nadu,Disease_X_NRP2026,0,0,0,174,0.0,0,0,67.07,33.5,72.9,316,probable,0.87,4,6
2026-05-18,Tamil Nadu,Disease_X_NRP2026,0,0,0,209,0.0,0,0,66.8,34.3,71.9,316,probable,0.87,4,6
2026-05-19,Tamil Nadu,Disease_X_NRP2026,0,0,0,199,0.0,0,0,65.57,33.8,70.9,316,probable,0.87,4,6
2026-05-20,Tamil Nadu,Disease_X_NRP2026,0,0,0,206,0.0,0,0,68.25,33.7,70.5,316,probable,0.87,4,6
2026-05-21,Tamil Nadu,Disease_X_NRP2026,0,0,0,206,0.0,0,0,67.05,34.1,70.0,316,probable,0.87,4,6
2026-05-22,Tamil Nadu,Disease_X_NRP2026,0,0,0,196,0.0,0,0,64.42,33.5,73.5,316,probable,0.87,4,6
2026-05-23,Tamil Nadu,Disease_X_NRP2026,0,0,0,190,0.0,0,0,64.03,35.0,74.3,316,probable,0.87,4,6
2026-05-24,Tamil Nadu,Disease_X_NRP2026,0,0,0,214,0.0,0,0,65.14,32.5,71.3,316,probable,0.87,4,6
2026-05-25,Tamil Nadu,Disease_X_NRP2026,0,0,0,167,0.0,0,0,67.89,35.0,72.7,316,probable,0.87,4,6
2026-05-26,Tamil Nadu,Disease_X_NRP2026,0,0,0,189,0.0,0,0,69.54,34.6,72.4,316,probable,0.87,4,6
2026-05-27,Tamil Nadu,Disease_X_NRP2026,0,0,0,232,0.0,0,0,67.13,34.9,77.5,316,probable,0.87,4,6
2026-05-28,Tamil Nadu,Disease_X_NRP2026,0,0,0,197,0.0,0,0,65.02,33.7,76.1,316,probable,0.87,4,6
2026-05-29,Tamil Nadu,Disease_X_NRP2026,0,0,0,192,0.0,0,0,64.37,33.7,76.5,316,probable,0.87,4,6
2026-05-30,Tamil Nadu,Disease_X_NRP2026,0,0,0,180,0.0,0,0,68.48,34.0,70.8,316,probable,0.87,4,6
2026-05-31,Tamil Nadu,Disease_X_NRP2026,0,0,0,223,0.0,0,0,62.79,33.5,71.6,316,probable,0.87,4,6
2026-06-01,Tamil Nadu,Disease_X_NRP2026,0,0,0,202,0.0,0,0,63.05,32.9,73.7,316,probable,0.87,4,6
2026-06-02,Tamil Nadu,Disease_X_NRP2026,0,0,0,193,0.0,0,0,66.3,33.6,72.8,316,probable,0.87,4,6
2026-06-03,Tamil Nadu,Disease_X_NRP2026,0,0,0,200,0.0,0,0,68.36,33.1,75.9,316,probable,0.87,4,6
2026-06-04,Tamil Nadu,Disease_X_NRP2026,0,0,0,207,0.0,0,0,64.84,33.5,76.9,316,probable,0.87,4,6
2026-06-05,Tamil Nadu,Disease_X_NRP2026,0,0,0,196,0.0,0,0,66.25,33.2,74.2,316,probable,0.87,4,6
2026-06-06,Tamil Nadu,Disease_X_NRP2026,0,0,0,190,0.0,0,0,65.68,35.2,75.5,316,probable,0.87,4,6
2026-06-07,Tamil Nadu,Disease_X_NRP2026,0,0,0,214,0.0,0,0,65.28,34.1,73.7,316,probable,0.87,4,6
2026-03-01,Karnataka,Disease_X_NRP2026,0,0,0,205,0.0,0,0,66.75,29.5,62.2,1426,probable,2.86,4,6
2026-03-02,Karnataka,Disease_X_NRP2026,0,0,0,252,0.0,0,0,63.15,27.4,61.4,1426,probable,2.86,4,6
2026-03-03,Karnataka,Disease_X_NRP2026,0,0,0,193,0.0,0,0,65.82,28.0,64.9,1426,probable,2.86,4,6
2026-03-04,Karnataka,Disease_X_NRP2026,0,0,0,222,0.0,0,0,65.32,27.7,61.7,1426,probable,2.86,4,6
2026-03-05,Karnataka,Disease_X_NRP2026,0,0,0,204,0.0,0,0,61.77,27.1,62.7,1426,probable,2.86,4,6
2026-03-06,Karnataka,Disease_X_NRP2026,0,0,0,211,0.0,0,0,65.53,28.8,63.3,1426,probable,2.86,4,6
2026-03-07,Karnataka,Disease_X_NRP2026,0,0,0,198,0.0,0,0,66.91,27.6,66.3,1426,probable,2.86,4,6
