date,state,new_cases,new_deaths,new_vaccinations,tests_performed,positive_rate,hospitalized_patients,icu_patients,mobility_index,temperature,humidity,population_density
2020-02-24,Karnataka,30,0,43413,930,0.0323,1,0,78.78,26.5,80.5,1426
2020-02-25,Karnataka,243,4,15975,5832,0.0417,7,2,37.47,25.4,49.3,1426
2020-02-26,Karnataka,0,0,9835,100,0.0,0,0,67.53,24.8,84.8,1426
2020-02-27,Karnataka,669,10,39349,18063,0.037,22,12,59.16,30.8,90.6,1426
2020-02-28,Karnataka,0,0,32712,100,0.0,0,0,56.37,34.5,61.6,1426
2020-02-29,Karnataka,265,4,25384,8215,0.0323,14,2,49.14,19.2,87.6,1426
2020-03-01,Karnataka,217,3,9809,4123,0.0526,15,1,61.54,20.8,92.5,1426
2020-03-02,Karnataka,238,3,42744,3570,0.0667,16,1,48.81,18.5,67.4,1426
2020-03-03,Karnataka,616,5,13427,9240,0.0667,35,11,58.24,20.9,41.6,1426
2020-03-04,Karnataka,214,3,17173,7490,0.0286,13,1,39.55,18.3,59.3,1426
2020-03-05,Karnataka,0,0,22715,100,0.0,0,0,93.73,24.6,68.8,1426
2020-03-06,Karnataka,694,10,24856,12492,0.0556,37,6,62.14,39.6,67.1,1426
2020-03-07,Karnataka,607,5,11254,20031,0.0303,22,4,40.63,21.1,75.2,1426
2020-03-08,Karnataka,0,0,46240,100,0.0,0,0,76.73,21.8,50.6,1426
2020-03-09,Karnataka,46,0,44144,690,0.0667,2,0,39.01,25.3,57.7,1426
2020-03-10,Karnataka,134,0,10240,3886,0.0345,8,1,40.99,26.3,40.1,1426
2020-03-11,Karnataka,366,4,13717,13908,0.0263,22,3,62.38,34.4,42.0,1426
2020-03-12,Karnataka,335,2,10122,7035,0.0476,25,4,67.25,20.4,64.6,1426
2020-03-13,Karnataka,0,0,15267,100,0.0,0,0,44.8,25.2,46.6,1426
2020-03-14,Karnataka,409,7,11168,13906,0.0294,26,6,64.89,19.9,69.5,1426
2020-03-15,Karnataka,818,9,20913,26994,0.0303,36,8,75.21,30.6,59.6,1426
2020-03-16,Karnataka,535,10,33024,10165,0.0526,22,3,40.7,23.4,48.8,1426
2020-03-17,Karnataka,209,1,18046,7733,0.027,6,1,78.79,39.9,89.3,1426
2020-03-18,Karnataka,141,1,27350,3525,0.04,9,1,41.96,32.7,91.1,1426
2020-03-19,Karnataka,1028,9,11469,26728,0.0385,80,16,43.97,34.2,69.1,1426
2020-03-20,Karnataka,915,14,47533,25620,0.0357,54,6,63.68,29.7,42.9,1426
2020-03-21,Karnataka,186,1,44809,4836,0.0385,8,3,47.82,33.0,81.8,1426
2020-03-22,Karnataka,344,4,37293,13072,0.0263,17,3,95.07,36.3,93.1,1426
2020-03-23,Karnataka,587,11,13162,15262,0.0385,19,9,70.21,36.5,47.7,1426
2020-03-24,Karnataka,310,5,35523,8680,0.0357,11,2,87.02,32.6,68.8,1426
2020-03-25,Karnataka,769,8,14510,16918,0.0455,50,14,73.69,29.9,64.1,1426
2020-03-26,Karnataka,427,5,39016,13237,0.0323,21,5,34.66,23.0,69.9,1426
2020-03-27,Karnataka,0,0,26951,100,0.0,0,0,64.68,34.3,71.5,1426
2020-03-28,Karnataka,331,6,6120,12909,0.0256,21,5,40.02,22.5,79.3,1426
2020-03-29,Karnataka,1072,7,28710,28944,0.037,52,12,72.28,29.1,69.7,1426
2020-03-30,Karnataka,587,7,40659,10566,0.0556,40,3,71.89,30.4,79.4,1426
2020-03-31,Karnataka,973,18,15789,21406,0.0455,40,11,50.16,31.5,90.2,1426
2020-04-01,Karnataka,745,5,22368,23840,0.0312,31,11,71.51,20.2,90.5,1426
2020-04-02,Karnataka,1020,10,25530,23460,0.0435,68,19,94.79,27.9,46.2,1426
2020-04-03,Karnataka,881,17,24256,24668,0.0357,41,8,45.92,31.4,60.9,1426
2020-04-04,Karnataka,462,7,45738,10626,0.0435,23,6,94.39,25.6,59.1,1426
2020-04-05,Karnataka,922,14,11783,28582,0.0323,38,10,39.86,21.9,67.4,1426
2020-04-06,Karnataka,987,10,9757,24675,0.04,40,8,66.06,39.5,65.2,1426
2020-04-07,Karnataka,722,9,36195,25992,0.0278,40,5,50.97,24.8,61.9,1426
2020-04-08,Karnataka,1198,12,25908,37138,0.0323,58,21,71.12,24.5,79.3,1426
2020-04-09,Karnataka,719,9,43000,25884,0.0278,35,9,40.87,22.0,87.4,1426
2020-04-10,Karnataka,798,7,21438,22344,0.0357,30,12,76.12,18.6,52.2,1426
2020-04-11,Karnataka,1027,8,36480,22594,0.0455,71,7,75.69,23.2,45.5,1426
2020-04-12,Karnataka,1139,20,17175,28475,0.04,56,17,44.35,24.4,89.3,1426
2020-04-13,Karnataka,639,3,21032,13419,0.0476,25,3,42.7,30.8,63.2,1426
2020-04-14,Karnataka,576,6,16382,21312,0.027,25,8,58.66,30.1,64.0,1426
2020-04-15,Karnataka,732,6,48861,24888,0.0294,50,4,69.6,39.7,65.9,1426
2020-04-16,Karnataka,986,12,40367,22678,0.0435,64,10,45.26,32.2,63.2,1426
2020-04-17,Karnataka,632,4,13996,17064,0.037,19,11,38.24,30.7,55.1,1426
2020-04-18,Karnataka,1666,29,45809,61642,0.027,61,14,48.65,34.1,53.8,1426
2020-04-19,Karnataka,1310,18,13646,45850,0.0286,76,23,58.31,35.0,63.2,1426
2020-04-20,Karnataka,1238,9,16555,43330,0.0286,84,7,88.6,27.6,90.4,1426
2020-04-21,Karnataka,1123,17,33769,24706,0.0455,55,21,39.45,28.6,54.8,1426
2020-04-22,Karnataka,821,14,29058,25451,0.0323,49,8,83.96,20.3,44.1,1426
2020-04-23,Karnataka,1268,20,5060,49452,0.0256,81,14,47.25,36.0,84.0,1426
2020-04-24,Karnataka,932,12,31212,30756,0.0303,32,17,39.58,38.9,64.5,1426
2020-04-25,Karnataka,1571,12,29791,47130,0.0333,106,22,83.13,33.9,75.0,1426
2020-04-26,Karnataka,1734,10,32935,50286,0.0345,113,32,42.64,30.5,90.4,1426
2020-04-27,Karnataka,1672,9,29070,58520,0.0286,75,31,97.97,38.8,66.1,1426
2020-04-28,Karnataka,1409,13,5614,33816,0.0417,44,19,46.1,20.7,44.2,1426
2020-04-29,Karnataka,1447,22,36705,31834,0.0455,95,8,52.07,29.9,83.5,1426
2020-04-30,Karnataka,1785,32,14323,42840,0.0417,74,9,90.91,18.5,88.1,1426
2020-05-01,Karnataka,1069,13,35586,18173,0.0588,85,10,83.7,26.8,66.4,1426
2020-05-02,Karnataka,1830,36,44837,43920,0.0417,93,20,81.63,23.3,46.1,1426
2020-05-03,Karnataka,1688,17,37913,54016,0.0312,70,9,31.25,39.7,63.5,1426
2020-05-04,Karnataka,2100,17,46898,39900,0.0526,124,41,91.89,31.2,89.7,1426
2020-05-05,Karnataka,1377,27,19899,28917,0.0476,45,15,88.65,23.1,85.7,1426
2020-05-06,Karnataka,1594,30,20876,60572,0.0263,52,31,91.87,38.4,94.7,1426
2020-05-07,Karnataka,1730,13,23850,41520,0.0417,117,26,40.77,35.9,52.3,1426
2020-05-08,Karnataka,1866,25,22764,52248,0.0357,64,33,48.59,20.8,88.9,1426
2020-05-09,Karnataka,1395,26,33841,36270,0.0385,98,20,68.56,19.9,62.5,1426
2020-05-10,Karnataka,1481,23,34125,47392,0.0312,115,9,92.61,39.8,43.4,1426
2020-05-11,Karnataka,1721,31,24129,56793,0.0303,100,25,68.06,37.0,80.4,1426
2020-05-12,Karnataka,2318,20,23088,69540,0.0333,108,19,95.11,20.3,78.4,1426
2020-05-13,Karnataka,2054,16,14017,39026,0.0526,109,37,30.36,36.0,52.6,1426
2020-05-14,Karnataka,2553,22,26727,40848,0.0625,87,25,69.19,20.5,60.7,1426
2020-05-15,Karnataka,2234,11,6007,60318,0.037,78,36,67.89,39.2,58.8,1426
2020-05-16,Karnataka,2363,15,12059,42534,0.0556,152,14,51.07,33.6,43.7,1426
2020-05-17,Karnataka,2287,31,25953,34305,0.0667,77,40,99.31,32.9,64.5,1426
2020-05-18,Karnataka,2613,28,49064,65325,0.04,120,32,83.93,33.0,64.5,1426
2020-05-19,Karnataka,2851,25,19288,51318,0.0556,100,50,66.89,36.2,56.4,1426
2020-05-20,Karnataka,2524,21,27042,63100,0.04,185,49,32.19,34.1,90.0,1426
2020-05-21,Karnataka,2611,46,39450,88774,0.0294,114,51,58.65,37.7,52.6,1426
2020-05-22,Karnataka,2116,38,24994,63480,0.0333,165,16,90.8,35.1,82.4,1426
2020-05-23,Karnataka,2979,52,44110,101286,0.0294,182,20,32.28,38.3,73.9,1426
2020-05-24,Karnataka,2573,17,33541,79763,0.0323,165,29,44.04,28.8,43.5,1426
2020-05-25,Karnataka,3088,42,40201,108080,0.0286,215,29,61.87,18.3,44.0,1426
2020-05-26,Karnataka,2576,36,26804,64400,0.04,174,49,93.55,33.9,81.2,1426
2020-05-27,Karnataka,2041,14,43559,53066,0.0385,63,24,44.72,25.6,82.7,1426
2020-05-28,Karnataka,3133,19,48201,84591,0.037,247,25,78.52,36.1,42.3,1426
2020-05-29,Karnataka,2911,43,11090,64042,0.0455,105,53,71.63,31.6,73.7,1426
2020-05-30,Karnataka,3054,58,18629,103836,0.0294,185,37,76.26,30.2,72.9,1426
2020-05-31,Karnataka,2950,49,26288,50150,0.0588,112,34,80.74,31.1,75.8,1426
2020-06-01,Karnataka,3772,37,9780,105616,0.0357,147,63,76.11,29.0,70.5,1426
2020-06-02,Karnataka,2995,47,42412,107820,0.0278,239,58,75.52,22.4,77.4,1426
2020-06-03,Karnataka,3105,55,13595,117990,0.0263,190,49,83.74,29.1,69.9,1426
2020-06-04,Karnataka,2743,34,11563,63089,0.0435,86,29,72.43,31.1,83.6,1426
2020-06-05,Karnataka,3039,32,24342,97248,0.0312,126,50,58.37,31.2,74.8,1426
2020-06-06,Karnataka,2959,31,38142,47344,0.0625,149,17,60.6,20.1,62.3,1426
2020-06-07,Karnataka,3894,58,40984,81774,0.0476,192,76,48.07,32.4,57.9,1426
2020-06-08,Karnataka,4036,67,37419,153368,0.0263,316,47,46.52,19.6,49.3,1426
2020-06-09,Karnataka,2930,51,11276,43950,0.0667,124,41,79.47,21.7,49.2,1426
2020-06-10,Karnataka,3699,20,11116,70281,0.0526,209,61,79.38,27.8,87.5,1426
2020-06-11,Karnataka,4163,22,21001,116564,0.0357,150,35,33.62,32.1,52.4,1426
2020-06-12,Karnataka,4445,34,34856,84455,0.0526,246,24,40.38,39.7,93.1,1426
2020-06-13,Karnataka,4093,48,11570,118697,0.0345,222,61,39.78,18.7,56.9,1426
2020-06-14,Karnataka,3988,62,22275,95712,0.0417,253,77,36.57,32.8,64.4,1426
2020-06-15,Karnataka,3893,59,43006,144041,0.027,300,59,64.8,31.6,87.8,1426
2020-06-16,Karnataka,4082,55,47823,106132,0.0385,284,76,72.04,38.7,85.5,1426
2020-06-17,Karnataka,4335,44,42873,69360,0.0625,261,42,90.65,39.9,81.4,1426
2020-06-18,Karnataka,4695,29,44882,107985,0.0435,347,51,52.89,32.7,84.4,1426
2020-06-19,Karnataka,4434,51,8712,110850,0.04,159,58,30.4,25.1,60.2,1426
2020-06-20,Karnataka,4476,48,17178,156660,0.0286,221,52,46.63,26.2,52.5,1426
2020-06-21,Karnataka,4404,66,30537,105696,0.0417,234,47,90.43,29.4,66.4,1426
2020-06-22,Karnataka,4211,22,37779,164229,0.0256,157,54,47.22,28.5,61.7,1426
2020-06-23,Karnataka,4977,78,29596,124425,0.04,198,25,75.32,37.8,53.4,1426
2020-06-24,Karnataka,4655,88,18076,134995,0.0345,251,36,41.64,31.6,68.8,1426
2020-06-25,Karnataka,4783,62,47641,105226,0.0455,239,93,87.62,29.5,46.8,1426
2020-06-26,Karnataka,4757,85,12052,99897,0.0476,186,44,85.54,22.1,90.5,1426
2020-06-27,Karnataka,4516,77,10495,117416,0.0385,254,30,30.18,32.0,68.3,1426
2020-06-28,Karnataka,4787,66,21393,110101,0.0435,185,49,93.41,34.9,70.6,1426
2020-06-29,Karnataka,4643,74,12227,83574,0.0556,295,79,83.67,21.3,63.3,1426
2020-06-30,Karnataka,4652,33,22633,144212,0.0323,249,60,42.49,24.9,52.7,1426
2020-07-01,Karnataka,5205,46,44420,140535,0.037,171,37,49.22,31.1,77.2,1426
2020-07-02,Karnataka,4749,55,37496,99729,0.0476,146,48,87.31,31.3,58.5,1426
2020-07-03,Karnataka,5225,46,12843,99275,0.0526,206,51,45.87,25.8,43.8,1426
2020-07-04,Karnataka,5318,67,10051,85088,0.0625,372,45,67.8,37.4,75.8,1426
2020-07-05,Karnataka,4713,47,10249,94260,0.05,375,70,69.04,34.1,65.6,1426
2020-07-06,Karnataka,5491,32,35137,142766,0.0385,427,41,78.3,22.4,69.5,1426
2020-07-07,Karnataka,5413,88,47891,167803,0.0323,427,65,56.78,20.6,93.6,1426
2020-07-08,Karnataka,5243,27,46323,178262,0.0294,221,79,36.51,23.7,83.3,1426
2020-07-09,Karnataka,5670,71,24169,192780,0.0294,187,38,45.92,25.5,61.0,1426
2020-07-10,Karnataka,5948,60,23880,231972,0.0256,269,65,61.3,31.2,68.4,1426
2020-07-11,Karnataka,5712,113,29819,108528,0.0526,230,108,38.15,36.0,60.9,1426
2020-07-12,Karnataka,6032,109,13325,168896,0.0357,223,49,87.31,25.1,41.3,1426
2020-07-13,Karnataka,5716,110,33937,182912,0.0312,406,39,90.34,38.3,66.8,1426
2020-07-14,Karnataka,5748,81,13429,206928,0.0278,222,72,57.91,21.2,60.2,1426
2020-07-15,Karnataka,6128,70,13734,165456,0.037,338,71,37.4,32.1,51.9,1426
2020-07-16,Karnataka,6057,86,11610,224109,0.027,298,81,43.42,22.7,66.7,1426
2020-07-17,Karnataka,6298,59,49936,233026,0.027,233,42,51.23,20.2,78.1,1426
2020-07-18,Karnataka,6580,39,39406,118440,0.0556,272,55,45.46,21.8,76.1,1426
2020-07-19,Karnataka,6371,107,36238,108307,0.0588,358,77,42.38,26.5,93.0,1426
2020-07-20,Karnataka,6511,56,42605,227885,0.0286,279,106,39.6,29.8,51.8,1426
2020-07-21,Karnataka,6349,42,9798,158725,0.04,348,57,40.45,20.8,87.6,1426
2020-07-22,Karnataka,6588,57,26223,210816,0.0312,464,93,90.17,26.6,92.6,1426
2020-07-23,Karnataka,6613,113,11172,198390,0.0333,290,125,47.71,35.2,85.4,1426
2020-07-24,Karnataka,6583,81,33602,144826,0.0455,345,55,92.26,27.9,88.5,1426
2020-07-25,Karnataka,6410,35,41224,237170,0.027,215,38,30.85,39.0,80.6,1426
2020-07-26,Karnataka,6626,68,14866,185528,0.0357,520,126,84.87,25.8,62.7,1426
2020-07-27,Karnataka,7082,42,47533,169968,0.0417,241,90,92.92,35.2,52.5,1426
2020-07-28,Karnataka,6818,133,30538,197722,0.0345,245,96,84.22,32.2,69.2,1426
2020-07-29,Karnataka,6624,130,38548,238464,0.0278,391,107,86.82,32.4,47.0,1426
2020-07-30,Karnataka,7149,72,28953,157278,0.0455,294,75,60.25,27.7,73.7,1426
2020-07-31,Karnataka,6858,125,17258,260604,0.0263,435,66,91.55,23.7,69.9,1426
2020-08-01,Karnataka,6893,100,20997,241255,0.0286,496,109,84.35,32.4,49.8,1426
2020-08-02,Karnataka,7125,135,24921,192375,0.037,252,108,36.43,39.2,66.9,1426
2020-08-03,Karnataka,7086,51,48285,184236,0.0385,404,98,65.59,24.5,71.1,1426
2020-08-04,Karnataka,7352,106,34806,139688,0.0526,279,98,86.82,34.3,88.5,1426
2020-08-05,Karnataka,7289,66,26727,123913,0.0588,539,108,51.77,34.3,84.8,1426
2020-08-06,Karnataka,7684,81,24363,176732,0.0435,232,126,32.47,34.4,51.1,1426
2020-08-07,Karnataka,7550,146,20379,294450,0.0256,349,54,51.39,37.3,94.8,1426
2020-08-08,Karnataka,7066,111,6013,268508,0.0263,421,76,58.88,33.3,40.2,1426
2020-08-09,Karnataka,6726,96,38848,121068,0.0556,332,74,91.2,29.2,79.8,1426
2020-08-10,Karnataka,7331,113,16005,278578,0.0263,398,102,72.15,18.5,57.7,1426
2020-08-11,Karnataka,7342,106,17693,242286,0.0303,475,118,98.74,22.6,85.4,1426
2020-08-12,Karnataka,6786,46,15720,210366,0.0323,233,56,71.88,34.2,94.9,1426
2020-08-13,Karnataka,7626,144,17448,205902,0.037,389,110,85.0,20.6,62.5,1426
2020-08-14,Karnataka,7440,101,46796,223200,0.0333,291,77,53.42,18.6,41.3,1426
2020-08-15,Karnataka,7914,138,40525,213678,0.037,442,75,95.85,23.7,63.6,1426
2020-08-16,Karnataka,7776,92,48363,147744,0.0526,285,48,80.96,28.9,64.0,1426
2020-08-17,Karnataka,7495,119,18493,149900,0.05,309,52,57.92,38.3,66.0,1426
2020-08-18,Karnataka,7400,124,37591,177600,0.0417,359,84,89.14,23.9,48.6,1426
2020-08-19,Karnataka,7430,132,7643,185750,0.04,453,99,54.21,24.9,82.5,1426
2020-08-20,Karnataka,7700,123,6171,192500,0.04,280,140,57.54,36.2,83.3,1426
2020-08-21,Karnataka,7701,110,23745,146319,0.0526,608,55,80.76,22.2,58.6,1426
2020-08-22,Karnataka,7890,153,11304,181470,0.0435,296,66,47.57,36.7,70.9,1426
2020-08-23,Karnataka,7783,100,11171,124528,0.0625,514,46,79.55,30.0,44.5,1426
2020-08-24,Karnataka,7523,56,19357,120368,0.0625,545,113,62.36,27.1,75.8,1426
2020-08-25,Karnataka,6990,92,29487,265620,0.0263,248,72,98.46,35.5,67.3,1426
2020-08-26,Karnataka,8139,107,35573,146502,0.0556,551,42,38.84,32.5,48.9,1426
2020-08-27,Karnataka,7795,68,11823,179285,0.0435,617,129,31.9,19.4,65.5,1426
2020-08-28,Karnataka,7946,99,31390,158920,0.05,565,85,84.29,39.2,51.2,1426
2020-08-29,Karnataka,8200,105,38243,311600,0.0263,556,75,51.86,32.1,50.8,1426
2020-08-30,Karnataka,7964,93,16531,159280,0.05,305,113,55.42,37.7,49.3,1426
2020-08-31,Karnataka,8249,103,28551,123735,0.0667,397,131,87.43,24.9,83.9,1426
2020-09-01,Karnataka,8074,79,30150,121110,0.0667,438,55,80.76,25.1,94.8,1426
2020-09-02,Karnataka,7818,153,25095,289266,0.027,239,104,66.92,33.8,89.0,1426
2020-09-03,Karnataka,8047,62,14587,185081,0.0435,610,53,83.17,39.7,89.6,1426
2020-09-04,Karnataka,7888,116,48732,181424,0.0435,336,136,91.59,29.6,53.4,1426
2020-09-05,Karnataka,7819,145,18230,258027,0.0303,309,111,60.49,30.7,80.6,1426
2020-09-06,Karnataka,8493,145,37602,246297,0.0345,524,58,77.33,25.2,77.7,1426
2020-09-07,Karnataka,7881,138,30215,291597,0.027,489,121,65.89,24.7,51.7,1426
2020-09-08,Karnataka,8158,44,49333,285530,0.0286,554,151,46.29,35.8,43.3,1426
2020-09-09,Karnataka,8084,146,22761,299108,0.027,423,96,90.52,30.0,60.9,1426
2020-09-10,Karnataka,8219,161,27010,230132,0.0357,420,46,81.79,38.2,55.4,1426
2020-09-11,Karnataka,7859,146,26778,188616,0.0417,552,41,97.4,34.0,56.8,1426
2020-09-12,Karnataka,8208,143,9493,270864,0.0303,335,55,34.78,23.8,42.5,1426
2020-09-13,Karnataka,7464,129,16240,261240,0.0286,335,120,33.37,37.9,86.9,1426
2020-09-14,Karnataka,8123,121,10374,227444,0.0357,275,69,85.62,18.8,72.1,1426
2020-09-15,Karnataka,7733,135,12851,131461,0.0588,276,49,93.67,32.7,85.6,1426
2020-09-16,Karnataka,7950,144,28852,119250,0.0667,514,49,93.75,28.2,47.6,1426
2020-09-17,Karnataka,7629,57,29370,267015,0.0286,398,128,74.77,32.9,47.2,1426
2020-09-18,Karnataka,7768,66,13770,201968,0.0385,486,149,72.05,34.4,67.8,1426
2020-09-19,Karnataka,7704,67,11716,238824,0.0323,413,43,39.8,24.1,93.4,1426
2020-09-20,Karnataka,7930,79,34538,245830,0.0323,315,112,49.65,22.6,68.4,1426
2020-09-21,Karnataka,7758,132,22087,240498,0.0323,431,72,95.22,26.7,44.8,1426
2020-09-22,Karnataka,7603,108,40634,288914,0.0263,562,103,32.08,32.9,42.5,1426
2020-09-23,Karnataka,8032,60,13210,176704,0.0455,406,149,79.98,31.4,57.0,1426
2020-09-24,Karnataka,7754,134,38755,162834,0.0476,550,38,74.55,19.1,54.2,1426
2020-09-25,Karnataka,7797,119,43211,124752,0.0625,383,92,55.83,20.7,63.0,1426
2020-09-26,Karnataka,7541,122,21715,113115,0.0667,256,77,95.92,32.7,77.3,1426
2020-09-27,Karnataka,8049,41,9658,257568,0.0312,609,114,91.16,33.9,46.6,1426
2020-09-28,Karnataka,7145,132,38154,142900,0.05,405,50,30.82,27.3,56.2,1426
2020-09-29,Karnataka,8437,47,42437,295295,0.0286,488,85,81.04,32.4,86.5,1426
2020-09-30,Karnataka,7454,114,40426,238528,0.0312,252,97,90.32,31.0,52.4,1426
2020-10-01,Karnataka,7287,99,8134,167601,0.0435,254,133,30.86,26.1,41.5,1426
2020-10-02,Karnataka,6883,74,41129,261554,0.0263,263,78,39.98,37.6,59.0,1426
2020-10-03,Karnataka,7885,79,16120,197125,0.04,503,111,55.52,22.8,94.3,1426
2020-10-04,Karnataka,7873,92,10744,141714,0.0556,291,96,31.93,29.1,93.0,1426
2020-10-05,Karnataka,7283,39,16826,174792,0.0417,226,119,62.1,24.4,89.5,1426
2020-10-06,Karnataka,7341,49,13315,176184,0.0417,335,134,72.21,36.2,94.1,1426
2020-10-07,Karnataka,6870,69,32716,123660,0.0556,259,91,67.92,34.8,85.9,1426
2020-10-08,Karnataka,6843,79,14569,164232,0.0417,294,54,34.04,25.5,54.9,1426
2020-10-09,Karnataka,7263,74,20996,275994,0.0263,379,104,64.22,26.8,94.7,1426
2020-10-10,Karnataka,7348,133,14429,161656,0.0455,429,105,44.09,26.7,42.2,1426
2020-10-11,Karnataka,7947,66,29842,278145,0.0286,378,94,32.66,34.4,70.2,1426
2020-10-12,Karnataka,6655,39,6960,252890,0.0263,491,127,40.42,28.2,94.0,1426
2020-10-13,Karnataka,7396,102,12269,133128,0.0556,415,99,60.89,31.3,90.5,1426
2020-10-14,Karnataka,6994,72,35386,216814,0.0323,522,82,61.04,31.2,72.5,1426
2020-10-15,Karnataka,6928,138,21499,152416,0.0455,208,101,50.89,23.3,57.2,1426
2020-10-16,Karnataka,7326,64,30518,139194,0.0526,449,138,31.34,28.5,77.8,1426
2020-10-17,Karnataka,7143,50,22611,250005,0.0286,501,65,44.75,39.1,40.5,1426
2020-10-18,Karnataka,7135,142,24225,156970,0.0455,509,67,31.0,34.2,85.9,1426
2020-10-19,Karnataka,6560,106,12295,124640,0.0526,462,119,79.0,20.3,62.0,1426
